Survived,Sex,Age,Fare,Mr,Mss,Mrs,Master,Rare,FamilySize1,FamilySize>1,EmbarkedS,EmbarkedC,EmbarkedQ,Pclass1,Pclass2,Pclass3
1,1,0.2625,0.036125,0,0,1,0,0,1,0,0,1,0,0,0,1
0,0,0.3,0.039479,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.45,0.12075,1,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0.0375,0.13,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,0.5625,0.1775,1,0,0,0,0,1,0,1,0,0,1,0,0
1,1,0.2625,0.03825,0,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.625,1.2376040000000001,0,0,1,0,0,0,0,0,1,0,1,0,0
0,0,0.65,0.0675,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0.3125,0.09983349999999999,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0.8125,0.03875,1,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0.3125,0.039479,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.3125,0.0365625,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.3125,0.03875,1,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0.3125,0.04025,1,0,0,0,0,1,0,1,0,0,0,0,1
0,1,0.125,0.12075,0,0,0,0,0,0,0,1,0,0,0,0,1
1,1,0.5,0.065,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0.3125,0.0755,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.5625,0.8243335,0,0,1,0,0,0,0,1,0,0,1,0,0
0,0,0.5,0.138604,1,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0.225,0.032479,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0.2,0.13,1,0,0,0,0,1,0,1,0,0,0,1,0
1,1,0.3625,0.07622899999999999,0,0,1,0,0,0,0,0,1,0,0,0,1
1,1,0.1625,0.036146,0,0,0,0,0,1,0,0,1,0,0,0,1
0,0,0.2625,0.04025,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.25,0.039271,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.4625,0.1485,1,0,0,0,0,0,0,0,1,0,1,0,0
0,1,0.2625,0.171875,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0.45,0.037479,1,0,0,0,0,1,0,1,0,0,0,0,1
1,0,0.3125,0.0,1,0,0,0,0,1,0,1,0,0,0,0,1
0,1,0.1125,0.171875,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0.2625,0.039625,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.525,0.065,0,0,0,0,1,1,0,1,0,0,0,1,0
0,0,0.6125,0.0,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.3125,0.038875,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.3625,0.13,0,0,1,0,0,0,0,1,0,0,0,1,0
0,0,0.3125,0.038875,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0.3875,0.03875,1,0,0,0,0,1,0,0,0,1,0,0,1
0,1,0.2625,0.34775,0,0,0,0,0,0,1,1,0,0,0,0,1
1,1,0.0625,0.09629149999999999,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,0.225,0.04675,0,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0.3375,0.039479,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.4375,0.275,0,0,1,0,0,0,0,1,0,0,1,0,0
0,0,0.4,0.150354,1,0,0,0,0,0,0,0,1,0,0,1,0
0,1,0.325,0.0805,0,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0.25,0.03625,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.25,0.03525,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.6625,0.257396,0,0,1,0,0,0,0,1,0,0,1,0,0
1,1,0.2625,0.039146,0,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0.3875,0.0525,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0.525,0.03825,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.4125,0.45,0,0,0,0,0,0,0,0,0,1,1,0,0
1,1,0.2625,0.0775,0,0,1,0,0,0,0,0,0,1,0,0,1
0,0,0.0125,0.2345,0,0,0,1,0,0,1,1,0,0,0,0,1
0,0,0.375,0.0,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0.3,0.0475,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.5,0.7673125000000001,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0.3125,0.108396,1,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0.0125,0.195,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,0.025,0.1984375,0,0,0,1,0,0,1,1,0,0,0,0,1
0,0,0.3375,0.072271,1,0,0,0,0,0,0,0,1,0,0,0,1
1,1,0.5,0.6725,0,0,1,0,0,0,0,0,1,0,1,0,0
1,1,0.4375,0.66825,0,0,1,0,0,0,0,1,0,0,1,0,0
0,0,0.2,0.0525,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0.3125,0.038646,1,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0.425,0.105,1,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0.0125,0.102875,0,0,0,1,0,0,0,1,0,0,0,0,1
1,1,0.3625,1.0566875,0,0,0,0,0,1,0,1,0,0,1,0,0
1,1,0.1625,0.0975,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0.2,0.04025,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.3875,0.5663750000000001,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0.5625,0.034874999999999996,1,0,0,0,0,1,0,1,0,0,0,0,1
1,0,0.3125,0.28247900000000004,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.5,0.195,0,0,1,0,0,0,0,1,0,0,0,1,0
0,0,0.775,0.13275,1,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0.05,0.13949999999999999,0,0,0,1,0,0,1,1,0,0,0,0,1
0,0,0.35,0.07925,1,0,0,0,0,0,0,1,0,0,0,0,1
1,1,0.0625,0.13875,0,0,0,0,0,0,0,1,0,0,0,1,0
1,1,0.3875,0.8243335,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0.4375,0.26,0,0,1,0,0,0,0,1,0,0,1,0,0
1,1,0.2625,0.11625,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0.3125,0.12075,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0.275,0.037604,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.45,0.200625,1,0,0,0,0,1,0,0,1,0,1,0,0
1,1,0.3,0.4157915,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0.725,0.5663750000000001,1,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0.2,0.0460835,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.3,0.04025,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.3,0.3675,1,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0.0,0.09375,0,0,0,1,0,0,0,1,0,0,0,1,0
0,1,0.3875,0.09,0,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0.375,0.12,1,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0.25,0.046125,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.275,0.33299999999999996,0,0,1,0,0,0,0,1,0,0,1,0,0
1,1,0.0625,0.062375,0,0,0,0,0,1,0,1,0,0,0,0,1
0,1,0.4,0.0775,0,0,1,0,0,0,0,0,0,1,0,0,1
0,0,0.275,0.04675,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.3125,0.08900000000000001,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0.35,0.039625,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0.5,0.03875,1,0,0,0,0,1,0,0,0,1,0,0,1
1,1,0.3,0.135,0,0,1,0,0,0,0,1,0,0,0,1,0
0,0,0.3125,0.03625,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.275,0.03625,1,0,0,0,0,1,0,1,0,0,0,0,1
0,1,0.4625,0.0479375,0,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.1875,1.0566875,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0.35,0.28247900000000004,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.3125,0.03875,1,0,0,0,0,1,0,0,0,1,0,0,1
1,0,0.3125,0.07622899999999999,0,0,0,1,0,0,0,0,1,0,0,0,1
1,1,0.2625,0.12075,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0.4375,0.13,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0.55,0.04025,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0.3625,0.105,1,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0.3125,0.04025,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.3,0.13,0,0,1,0,0,0,0,1,0,0,0,1,0
0,1,0.3,0.065,0,0,0,0,0,1,0,1,0,0,0,1,0
1,1,0.325,0.039625,0,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0.4875,0.4157915,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0.6375,0.062625,0,0,0,0,1,1,0,1,0,0,0,1,0
1,1,0.3875,0.13125,0,0,1,0,0,0,0,1,0,0,0,1,0
0,1,0.225,0.072271,0,0,0,0,0,0,0,0,1,0,0,0,1
