Survived,PassengerId,firstClass,secondClass,thirdClass,Sex,under15,over55,SibSp,Parch,Fare
1,124,0,1,0,0,0,0,0,0,0.025374310111545468
1,544,0,1,0,1,0,0,1,0,0.050748620223090936
0,772,0,0,1,1,0,0,0,0,0.015330377421392339
1,636,0,1,0,0,0,0,0,0,0.025374310111545468
0,861,0,0,1,1,0,0,2,0,0.027537567642055148
0,253,1,0,0,1,0,1,0,0,0.051822148727810165
1,524,1,0,0,0,0,0,0,1,0.11316786160148591
1,37,0,0,1,1,0,0,0,0,0.014110458666029575
0,786,0,0,1,1,0,0,0,0,0.014151057562208049
1,461,1,0,0,1,0,0,0,0,0.051822148727810165
0,440,0,1,0,1,0,0,0,0,0.020494635090094415
1,711,1,0,0,0,0,0,0,0,0.09662576327876685
0,699,1,0,0,1,0,0,1,1,0.21642978772242535
0,425,0,0,1,1,0,0,1,1,0.039452172548431745
1,876,0,0,1,0,0,0,0,0,0.014102260811993537
0,627,0,1,0,1,0,1,0,0,0.024105594605968193
1,843,1,0,0,0,0,0,0,0,0.060507970265993034
0,396,0,0,1,1,0,0,0,0,0.015216388212891242
0,871,0,0,1,1,0,0,0,0,0.015411575213749284
0,677,0,0,1,1,0,0,0,0,0.015712553569072387
1,427,0,1,0,0,0,0,1,0,0.050748620223090936
0,746,1,0,0,1,0,1,1,1,0.13858277060920984
1,446,1,0,0,1,1,0,0,2,0.15977676072337862
0,565,0,0,1,0,0,0,0,0,0.015712553569072387
0,189,0,0,1,1,0,0,1,1,0.030253985132996517
0,414,0,1,0,1,0,0,0,0,0.0
0,255,0,0,1,0,0,0,0,2,0.039452172548431745
0,506,1,0,0,1,0,0,1,0,0.2125586439344078
0,112,0,0,1,0,1,0,1,0,0.028212719478023115
0,612,0,0,1,1,0,0,0,0,0.013760683560491965
1,23,0,0,1,0,0,0,0,0,0.015671954672893913
1,11,0,0,1,0,1,0,1,1,0.03259622914329302
0,358,0,1,0,0,0,0,0,0,0.025374310111545468
0,14,0,0,1,1,0,0,1,5,0.06104473451835265
0,263,1,0,0,1,0,0,1,1,0.1554664461834305
1,20,0,0,1,0,0,0,0,0,0.014102260811993537
1,16,0,1,0,0,0,0,0,0,0.03122992013728673
0,545,1,0,0,1,0,0,1,0,0.20772776566317125
0,416,0,0,1,0,0,0,0,0,0.015712553569072387
0,403,0,0,1,0,0,0,1,0,0.019177122834302632
0,662,0,0,1,1,0,0,0,0,0.014102260811993537
1,586,1,0,0,0,0,0,0,2,0.1554664461834305
0,502,0,0,1,0,0,0,0,0,0.015126992566498259
0,469,0,0,1,1,0,0,0,0,0.015078195816283748
0,78,0,0,1,1,0,0,0,0,0.015712553569072387
0,626,1,0,0,1,0,1,0,0,0.06308600017332605
0,730,0,0,1,0,0,0,1,0,0.015468569817999833
0,125,1,0,0,1,0,0,0,1,0.15085515328815924
1,447,0,1,0,0,1,0,0,1,0.0380614651673182
0,229,0,1,0,1,0,0,0,0,0.025374310111545468
0,750,0,0,1,1,0,0,0,0,0.015126992566498259
1,307,1,0,0,0,0,0,0,0,0.21642978772242535
0,214,0,1,0,1,0,0,0,0,0.025374310111545468
0,1,0,0,1,1,0,0,1,0,0.014151057562208049
0,211,0,0,1,1,0,0,0,0,0.013760683560491965
0,885,0,0,1,1,0,0,0,0,0.013760683560491965
0,606,0,0,1,1,0,0,1,0,0.030351578633425542
1,187,0,0,1,0,0,0,1,0,0.030253985132996517
0,663,1,0,0,1,0,0,0,0,0.04994347384455151
1,560,0,0,1,0,0,0,1,0,0.033962538149299316
0,596,0,0,1,1,0,0,1,1,0.04713766070721715
1,613,0,0,1,0,0,0,1,0,0.030253985132996517
0,111,1,0,0,1,0,0,0,0,0.10149724044618187
0,200,0,1,0,0,0,0,0,0,0.025374310111545468
1,418,0,1,0,0,0,0,0,2,0.025374310111545468
0,817,0,0,1,0,0,0,0,0,0.015468569817999833
0,732,0,0,1,1,1,0,0,0,0.036670757786204655
1,289,0,1,0,1,0,0,0,0,0.025374310111545468
0,529,0,0,1,1,0,0,0,0,0.015468569817999833
1,763,0,0,1,1,0,0,0,0,0.014110458666029575
1,258,1,0,0,0,0,0,0,0,0.16883675574220638
0,809,0,1,0,1,0,0,0,0,0.025374310111545468
0,494,1,0,0,1,0,1,0,0,0.09662576327876685
1,257,1,0,0,0,0,0,0,0,0.15458810467956932
0,5,0,0,1,1,0,0,0,0,0.015712553569072387
0,180,0,0,1,1,0,0,0,0,0.0
0,81,0,0,1,1,0,0,0,0,0.017566830077223785
0,758,0,1,0,1,0,0,0,0,0.022446505098674834
0,114,0,0,1,0,0,0,1,0,0.019177122834302632
1,691,1,0,0,1,0,0,1,0,0.11125659048908397
0,476,1,0,0,1,0,0,0,0,0.10149724044618187
0,294,0,0,1,0,0,0,0,0,0.01727404957593672
0,149,0,1,0,1,0,0,0,2,0.050748620223090936
0,265,0,0,1,0,0,0,0,0,0.015126992566498259
0,553,0,0,1,1,0,0,0,0,0.015281580671177828
1,329,0,0,1,0,0,0,1,1,0.04006213192611313
0,222,0,1,0,1,0,0,0,0,0.025374310111545468
0,630,0,0,1,1,0,0,0,0,0.015094396337354966
0,113,0,0,1,1,0,0,0,0,0.015712553569072387
0,668,0,0,1,1,0,0,0,0,0.015175789316712771
0,197,0,0,1,1,0,0,0,0,0.015126992566498259
1,33,0,0,1,0,0,0,0,0,0.015126992566498259
0,334,0,0,1,1,0,0,2,0,0.03513366015444757
0,488,1,0,0,1,0,1,0,0,0.057970539254838485
0,478,0,0,1,1,0,0,1,0,0.013752485706455927
0,397,0,0,1,0,0,0,0,0,0.015330377421392339
1,872,1,0,0,0,0,0,1,1,0.10257896680493714
0,504,0,0,1,0,0,0,0,0,0.018713553707264782
1,86,0,0,1,0,0,0,3,0,0.030937139635999665
0,198,0,0,1,1,0,0,0,1,0.01640390592611157
1,789,0,0,1,1,1,0,1,2,0.04015972542654215
1,98,1,0,0,1,0,0,0,1,0.12366716556464086
0,455,0,0,1,1,0,0,0,0,0.015712553569072387
1,619,0,1,0,0,1,0,2,1,0.0761229303346364
0,207,0,0,1,1,0,0,1,0,0.030937139635999665
0,123,0,1,0,1,0,0,1,0,0.058694292654020104
0,116,0,0,1,1,0,0,0,0,0.015468569817999833
1,507,0,1,0,0,0,0,0,2,0.050748620223090936
1,511,0,0,1,1,0,0,0,0,0.015126992566498259
0,247,0,0,1,0,0,0,0,0,0.015175789316712771
1,347,0,1,0,0,0,0,0,0,0.025374310111545468
0,716,0,0,1,1,0,0,0,0,0.014931805565640218
0,174,0,0,1,1,0,0,0,0,0.015468569817999833
1,357,1,0,0,0,0,0,0,1,0.10735285047192313
0,220,0,1,0,1,0,0,0,0,0.020494635090094415
0,378,1,0,0,1,0,0,0,2,0.41282050681475896
1,513,1,0,0,1,0,0,0,0,0.05130978285055781
1,751,0,1,0,0,1,0,1,1,0.04489301019734967
0,618,0,0,1,0,0,0,1,0,0.031425107138144774
0,589,0,0,1,1,0,0,0,0,0.015712553569072387
1,616,0,1,0,0,0,0,1,2,0.12687155055772734
1,85,0,1,0,0,0,0,0,0,0.020494635090094415
1,384,1,0,0,0,0,0,1,0,0.10149724044618187
0,406,0,1,0,1,0,0,1,0,0.04098927018018883
0,826,0,0,1,1,0,0,0,0,0.013565496559633922
0,779,0,0,1,1,0,0,0,0,0.015102594191391002
0,733,0,1,0,1,0,0,0,0,0.0
0,769,0,0,1,1,0,0,1,0,0.04713766070721715
0,266,0,1,0,1,0,0,0,0,0.020494635090094415
1,83,0,0,1,0,0,0,0,0,0.015200187691820024
1,470,0,0,1,0,1,0,2,1,0.03758969818624431
0,285,1,0,0,1,0,0,0,0,0.050748620223090936
1,367,1,0,0,0,0,1,1,0,0.14687821814567664
1,292,1,0,0,0,0,0,1,0,0.17777475888549785
0,868,1,0,0,1,0,0,0,0,0.09856123757927521
0,467,0,1,0,1,0,0,0,0,0.0
0,344,0,1,0,1,0,0,0,0,0.025374310111545468
1,824,0,0,1,0,0,0,0,1,0.024349578357040744
0,145,0,1,0,1,0,0,0,0,0.022446505098674834
1,644,0,0,1,1,0,0,0,0,0.11027245763075773
1,540,1,0,0,0,0,0,0,2,0.09661756542473081
0,332,1,0,0,1,0,0,0,0,0.055628295244541985
0,568,0,0,1,0,0,0,0,4,0.04113566043083236
1,10,0,1,0,0,1,0,1,0,0.058694292654020104
0,153,0,0,1,1,0,1,0,0,0.015712553569072387
0,361,0,0,1,1,0,0,1,4,0.05445717323939373
0,169,1,0,0,1,0,0,0,0,0.050602229972447406
0,402,0,0,1,1,0,0,0,0,0.015712553569072387
0,657,0,0,1,1,0,0,0,0,0.015411575213749284
0,493,1,0,0,1,0,0,0,0,0.05953203526170282
0,886,0,0,1,0,0,0,0,5,0.056848213999904744
1,44,0,1,0,0,1,0,1,2,0.08115719346076702
0,233,0,1,0,1,0,1,0,0,0.026350245115835676
0,353,0,0,1,1,0,0,1,1,0.014110458666029575
1,650,0,0,1,0,0,0,0,0,0.014736618564782174
0,647,0,0,1,1,0,0,0,0,0.015411575213749284
0,154,0,0,1,1,0,0,0,2,0.028302115124416098
1,531,0,1,0,0,1,0,1,1,0.050748620223090936
1,330,1,0,0,0,0,0,0,1,0.11316786160148591
1,752,0,0,1,1,1,0,0,1,0.024349578357040744
0,791,0,0,1,1,0,0,0,0,0.015126992566498259
0,148,0,0,1,0,1,0,2,2,0.06709553154495196
0,224,0,0,1,1,0,0,0,0,0.015411575213749284
0,115,0,0,1,0,0,0,0,0,0.028220722145058292
0,109,0,0,1,1,0,0,0,0,0.015411575213749284
1,810,1,0,0,0,0,0,1,0,0.10364429745562033
0,635,0,0,1,0,1,0,3,2,0.05445717323939373
0,72,0,0,1,0,0,0,5,2,0.09154270340242172
0,34,0,1,0,1,0,1,0,0,0.020494635090094415
0,393,0,0,1,1,0,0,2,0,0.015468569817999833
0,383,0,0,1,1,0,0,0,0,0.015468569817999833
0,119,1,0,0,1,0,0,0,1,0.4831284260198326
0,138,1,0,0,1,0,0,1,0,0.10364429745562033
0,522,0,0,1,1,0,0,0,0,0.015411575213749284
0,206,0,0,1,0,1,0,0,1,0.02042143996477265
0,688,0,0,1,1,0,0,0,0,0.019852079483269742
1,3,0,0,1,0,0,0,0,0,0.015468569817999833
0,465,0,0,1,1,0,0,0,0,0.015712553569072387
0,25,0,0,1,0,1,0,3,1,0.04113566043083236
0,607,0,0,1,1,0,0,0,0,0.015411575213749284
1,12,1,0,0,0,0,1,0,0,0.051822148727810165
1,9,0,0,1,0,0,0,0,2,0.021730754366528396
0,355,0,0,1,1,0,0,0,0,0.014102260811993537
0,277,0,0,1,0,0,0,0,0,0.015126992566498259
0,472,0,0,1,1,0,0,0,0,0.016908073949327893
1,194,0,1,0,1,1,0,1,1,0.050748620223090936
1,541,1,0,0,0,0,0,0,2,0.13858277060920984
0,409,0,0,1,1,0,0,0,0,0.015175789316712771
1,559,1,0,0,0,0,0,1,1,0.1554664461834305
0,127,0,0,1,1,0,0,0,0,0.015126992566498259
1,547,0,1,0,0,0,0,1,0,0.050748620223090936
0,87,0,0,1,1,0,0,1,3,0.06709553154495196
0,587,0,1,0,1,0,0,0,0,0.029278050128706306
0,39,0,0,1,0,0,0,2,0,0.03513366015444757
1,505,1,0,0,0,0,0,0,0,0.16883675574220638
1,216,1,0,0,0,0,0,1,0,0.22109807522194713
0,177,0,0,1,1,0,0,3,1,0.04970768794751499
0,411,0,0,1,1,0,0,0,0,0.015411575213749284
1,308,1,0,0,0,0,0,1,0,0.2125586439344078
0,687,0,0,1,1,1,0,4,1,0.07746484096553544
0,638,0,1,0,1,0,0,1,1,0.05123658772523604
0,13,0,0,1,1,0,0,0,0,0.015712553569072387
0,808,0,0,1,0,0,0,0,0,0.015175789316712771
0,757,0,0,1,1,0,0,0,0,0.015216388212891242
0,202,0,0,1,1,0,0,8,2,0.13575255909676823
1,863,1,0,0,0,0,0,0,0,0.050610427826483444
0,468,1,0,0,1,0,1,0,0,0.051822148727810165
1,195,1,0,0,0,0,0,0,0,0.05410739813385612
0,525,0,0,1,1,0,0,0,0,0.014110458666029575
0,141,0,0,1,0,0,0,0,2,0.029757819776815374
0,146,0,1,0,1,0,0,1,1,0.07173122281533045
0,747,0,0,1,1,0,0,1,1,0.03952536767375352
0,398,0,1,0,1,0,0,0,0,0.050748620223090936
1,320,1,0,0,0,0,0,1,1,0.2625265161540666
0,785,0,0,1,1,0,0,0,0,0.013760683560491965
0,288,0,0,1,1,0,0,0,0,0.015411575213749284
1,299,1,0,0,1,0,0,0,0,0.05953203526170282
1,572,1,0,0,0,0,0,2,0,0.10048070654571319
1,534,0,0,1,0,0,0,0,2,0.04364049521284361
0,784,0,0,1,1,0,0,1,2,0.04577135170121086
0,759,0,0,1,1,0,0,0,0,0.015712553569072387
1,782,1,0,0,0,0,0,1,0,0.11125659048908397
0,852,0,0,1,1,0,1,0,0,0.015175789316712771
1,745,0,0,1,1,0,0,0,0,0.015468569817999833
1,588,1,0,0,1,0,1,1,1,0.15458810467956932
0,834,0,0,1,1,0,0,0,0,0.015330377421392339
0,118,0,1,0,1,0,0,1,0,0.04098927018018883
1,48,0,0,1,0,0,0,0,0,0.015126992566498259
0,135,0,1,0,1,0,0,0,0,0.025374310111545468
1,648,1,0,0,1,0,1,0,0,0.06929138530460492
0,457,1,0,0,1,0,1,0,0,0.051822148727810165
0,558,1,0,0,1,0,0,0,0,0.4440992237022602
1,302,0,0,1,1,0,0,2,0,0.04538097769949478
0,874,0,0,1,1,0,0,0,0,0.017566830077223785
1,143,0,0,1,0,0,0,1,0,0.030937139635999665
0,241,0,0,1,0,0,0,1,0,0.028212719478023115
0,333,1,0,0,1,0,0,0,1,0.2995388511917728
1,781,0,0,1,0,1,0,0,0,0.014110458666029575
0,853,0,0,1,0,1,0,1,1,0.029757819776815374
0,818,0,1,0,1,0,0,1,1,0.07222738817151159
1,741,1,0,0,1,0,0,0,0,0.05855610025741261
0,230,0,0,1,0,0,0,3,1,0.04970768794751499
0,594,0,0,1,0,0,0,0,2,0.015126992566498259
0,632,0,0,1,1,0,0,0,0,0.013768881414528002
0,604,0,0,1,1,0,0,0,0,0.015712553569072387
0,412,0,0,1,1,0,0,0,0,0.013386510079847098
1,858,1,0,0,1,0,0,0,0,0.051822148727810165
1,803,1,0,0,1,1,0,1,2,0.23422440102965045
0,160,0,0,1,1,0,0,8,2,0.13575255909676823
0,64,0,0,1,1,1,0,3,2,0.05445717323939373
0,800,0,0,1,0,0,0,1,1,0.04713766070721715
0,350,0,0,1,1,0,0,0,0,0.016908073949327893
0,489,0,0,1,1,0,0,0,0,0.015712553569072387
0,404,0,0,1,1,0,0,1,0,0.030937139635999665
0,539,0,0,1,1,0,0,0,0,0.028302115124416098
1,857,1,0,0,0,0,0,1,1,0.32179836714362564
1,67,0,1,0,0,0,0,0,0,0.020494635090094415
1,32,1,0,0,0,0,0,1,0,0.2859895551532101
1,622,1,0,0,1,0,0,1,0,0.10257896680493714
0,374,1,0,0,1,0,0,0,0,0.2647385704347907
0,483,0,0,1,1,0,0,0,0,0.015712553569072387
0,641,0,0,1,1,0,0,0,0,0.015330377421392339
0,131,0,0,1,1,0,0,0,0,0.015411575213749284
1,597,0,1,0,0,0,0,0,0,0.06441171028315387
1,53,1,0,0,0,0,0,1,0,0.1497654242623688
0,658,0,0,1,0,0,0,1,1,0.030253985132996517
0,42,0,1,0,0,0,0,1,0,0.04098927018018883
1,395,0,0,1,0,0,0,0,2,0.03259622914329302
0,172,0,0,1,1,1,0,4,1,0.056848213999904744
0,765,0,0,1,1,0,0,0,0,0.015175789316712771
1,804,0,0,1,1,1,0,0,1,0.016623491302076868
0,372,0,0,1,1,0,0,1,0,0.012678957201736696
0,563,0,1,0,1,0,0,0,0,0.026350245115835676
0,106,0,0,1,1,0,0,0,0,0.015411575213749284
1,75,0,0,1,1,0,0,0,0,0.11027245763075773
0,739,0,0,1,1,0,0,0,0,0.015411575213749284
0,471,0,0,1,1,0,0,0,0,0.014151057562208049
1,490,0,0,1,1,1,0,1,1,0.031034733136428686
0,703,0,0,1,0,0,0,0,1,0.028212719478023115
0,84,1,0,0,1,0,0,0,0,0.09193307740413781
0,303,0,0,1,1,0,0,0,0,0.0
0,801,0,1,0,1,0,0,0,0,0.025374310111545468
1,459,0,1,0,0,0,0,0,0,0.020494635090094415
1,450,1,0,0,1,0,0,0,0,0.05953203526170282
0,695,1,0,0,1,0,1,0,0,0.051822148727810165
0,97,1,0,0,1,0,1,0,0,0.06764049365134761
1,690,1,0,0,0,0,0,0,1,0.41250332793836464
0,314,0,0,1,1,0,0,0,0,0.015411575213749284
0,865,0,1,0,1,0,0,0,0,0.025374310111545468
0,183,0,0,1,1,1,0,4,2,0.061264319894317944
0,774,0,0,1,1,0,0,0,0,0.014102260811993537
0,186,1,0,0,1,0,0,0,0,0.09759350042902103
0,841,0,0,1,1,0,0,0,0,0.015468569817999833
1,536,0,1,0,0,1,0,0,2,0.05123658772523604
0,838,0,0,1,1,0,0,0,0,0.015712553569072387
1,830,1,0,0,0,0,1,0,0,0.15614960068643363
1,188,1,0,0,1,0,0,0,0,0.051822148727810165
1,458,1,0,0,0,0,0,1,0,0.10122885832000206
1,756,0,1,0,1,1,0,1,1,0.028302115124416098
0,793,0,0,1,0,0,0,8,2,0.13575255909676823
0,794,1,0,0,1,0,0,0,0,0.05991421140938287
1,850,1,0,0,0,0,0,1,0,0.17391981561855152
0,685,0,1,0,1,0,1,1,1,0.0761229303346364
1,162,0,1,0,0,0,0,0,0,0.030741952635141623
0,144,0,0,1,1,0,0,0,0,0.013175122557917838
0,569,0,0,1,1,0,0,0,0,0.014110458666029575
0,737,0,0,1,0,0,0,1,3,0.06709553154495196
1,324,0,1,0,0,0,0,1,1,0.056604230248832196
0,694,0,0,1,1,0,0,0,0,0.014102260811993537
0,274,1,0,0,1,0,0,0,1,0.057970539254838485
1,571,0,1,0,1,0,1,0,0,0.020494635090094415
0,815,0,0,1,1,0,0,0,0,0.015712553569072387
1,339,0,0,1,1,0,0,0,0,0.015712553569072387
0,104,0,0,1,1,0,0,0,0,0.016891873428256675
0,837,0,0,1,1,0,0,0,0,0.016908073949327893
0,735,0,1,0,1,0,0,0,0,0.025374310111545468
0,130,0,0,1,1,0,0,0,0,0.013614293309848433
0,8,0,0,1,1,1,0,3,1,0.04113566043083236
0,495,0,0,1,1,0,0,0,0,0.015712553569072387
1,678,0,0,1,0,0,0,0,0,0.019209719063445922
0,387,0,0,1,1,1,0,5,2,0.09154270340242172
0,354,0,0,1,1,0,0,1,0,0.034743286152731485
0,158,0,0,1,1,0,0,0,0,0.015712553569072387
1,331,0,0,1,0,0,0,2,0,0.04538097769949478
1,394,1,0,0,0,0,0,1,0,0.22109807522194713
1,368,0,0,1,0,0,0,0,0,0.014110458666029575
0,322,0,0,1,1,0,0,0,0,0.015411575213749284
0,590,0,0,1,1,0,0,0,0,0.015712553569072387
0,133,0,0,1,0,0,0,1,0,0.028302115124416098
0,176,0,0,1,1,0,0,1,1,0.015330377421392339
0,620,0,1,0,1,0,0,0,0,0.020494635090094415
0,47,0,0,1,1,0,0,1,0,0.030253985132996517
0,204,0,0,1,1,0,0,0,0,0.014102260811993537
0,595,0,1,0,1,0,0,1,0,0.050748620223090936
0,639,0,0,1,0,0,0,0,5,0.07746484096553544
0,667,0,1,0,1,0,0,0,0,0.025374310111545468
0,58,0,0,1,1,0,0,0,0,0.014110458666029575
1,890,1,0,0,1,0,0,0,0,0.05855610025741261
1,527,0,1,0,0,0,0,0,0,0.020494635090094415
1,381,1,0,0,0,0,0,0,0,0.4440992237022602
1,238,0,1,0,0,1,0,0,2,0.05123658772523604
0,139,0,0,1,1,0,0,0,0,0.01798980030808316
0,509,0,0,1,1,0,0,0,0,0.04396587194327397
0,88,0,0,1,1,0,0,0,0,0.015712553569072387
1,45,0,0,1,0,0,0,0,0,0.01537917417160685
1,661,1,0,0,1,0,0,2,0,0.2608674266467732
1,128,0,0,1,1,0,0,0,0,0.01393967004027879
0,239,0,1,0,1,0,0,0,0,0.020494635090094415
0,777,0,0,1,1,0,0,0,0,0.015126992566498259
0,653,0,0,1,1,0,0,0,0,0.01646070534336126
0,235,0,1,0,1,0,0,0,0,0.020494635090094415
1,755,0,1,0,0,0,0,1,2,0.12687155055772734
1,272,0,0,1,1,0,0,0,0,0.0
0,65,1,0,0,1,0,0,0,0,0.05410739813385612
0,293,0,1,0,1,0,0,0,0,0.025130326360472913
0,94,0,0,1,1,0,0,1,2,0.04015972542654215
0,245,0,0,1,1,0,0,0,0,0.014102260811993537
0,512,0,0,1,1,0,0,0,0,0.015712553569072387
1,275,0,0,1,0,0,0,0,0,0.015126992566498259
1,346,0,1,0,0,0,0,0,0,0.025374310111545468
0,705,0,0,1,1,0,0,1,0,0.015330377421392339
0,264,1,0,0,1,0,0,0,0,0.0
0,61,0,0,1,1,0,0,0,0,0.014110458666029575
0,753,0,0,1,1,0,0,0,0,0.018542765081513996
0,168,0,0,1,0,0,0,1,4,0.05445717323939373
0,825,0,0,1,1,1,0,4,1,0.07746484096553544
1,570,0,0,1,1,0,0,0,0,0.015330377421392339
0,706,0,1,0,1,0,0,0,0,0.050748620223090936
1,107,0,0,1,0,0,0,0,0,0.014931805565640218
1,822,0,0,1,1,0,0,0,0,0.016908073949327893
0,851,0,0,1,1,1,0,4,2,0.06104473451835265
1,605,1,0,0,1,0,0,0,0,0.051822148727810165
0,869,0,0,1,1,0,0,0,0,0.018542765081513996
0,243,0,1,0,1,0,0,0,0,0.020494635090094415
0,744,0,0,1,1,0,0,1,0,0.031425107138144774
1,227,0,1,0,1,0,0,0,0,0.020494635090094415
1,610,1,0,0,0,0,0,0,0,0.2995388511917728
0,556,1,0,0,1,0,1,0,0,0.051822148727810165
1,129,0,0,1,0,0,0,1,1,0.04364049521284361
0,842,0,1,0,1,0,0,0,0,0.020494635090094415
1,290,0,0,1,0,0,0,0,0,0.015126992566498259
1,173,0,0,1,0,1,0,1,1,0.021730754366528396
0,223,0,0,1,1,0,0,0,0,0.015712553569072387
1,317,0,1,0,0,0,0,1,0,0.050748620223090936
0,629,0,0,1,1,0,0,0,0,0.015411575213749284
0,790,1,0,0,1,0,0,0,0,0.15458810467956932
1,738,1,0,0,1,0,0,0,0,1.0
0,282,0,0,1,1,0,0,0,0,0.015330377421392339
0,399,0,1,0,1,0,0,0,0,0.020494635090094415
1,248,0,1,0,0,0,0,0,2,0.028302115124416098
0,7,1,0,0,1,0,0,0,0,0.10122885832000206
0,566,0,0,1,1,0,0,2,0,0.04713766070721715
1,797,1,0,0,0,0,0,0,0,0.050610427826483444
0,63,1,0,0,1,0,0,1,0,0.16293234896625058
0,584,1,0,0,1,0,0,0,0,0.07831878409428937
0,820,0,0,1,1,1,0,3,2,0.05445717323939373
1,249,1,0,0,1,0,0,1,1,0.10257896680493714
1,359,0,0,1,0,0,0,0,0,0.01537917417160685
1,270,1,0,0,0,0,0,0,0,0.2647385704347907
0,704,0,0,1,1,0,0,0,0,0.01511079204542704
0,672,1,0,0,1,0,0,1,0,0.10149724044618187
0,385,0,0,1,1,0,0,0,0,0.015411575213749284
1,268,0,0,1,1,0,0,1,0,0.015175789316712771
0,21,0,1,0,1,0,0,0,0,0.050748620223090936
1,713,1,0,0,1,0,0,1,0,0.10149724044618187
1,328,0,1,0,0,0,0,0,0,0.025374310111545468
0,51,0,0,1,1,1,0,4,1,0.07746484096553544
0,19,0,0,1,0,0,0,1,0,0.03513366015444757
1,18,0,1,0,1,0,0,0,0,0.025374310111545468
0,659,0,1,0,1,0,0,0,0,0.025374310111545468
0,150,0,1,0,1,0,0,0,0,0.025374310111545468
0,811,0,0,1,1,0,0,0,0,0.015395374692678068
0,213,0,0,1,1,0,0,0,0,0.014151057562208049
1,82,0,0,1,1,0,0,0,0,0.018542765081513996
0,267,0,0,1,1,0,0,4,1,0.07746484096553544
